Column 1: Filled=194, Total=194, Percentage=100.00%
Column 69: Filled=188, Total=194, Percentage=96.91%
Column 70: Filled=148, Total=194, Percentage=76.29%
Column 71: Filled=188, Total=194, Percentage=96.91%
Column 72: Filled=188, Total=194, Percentage=96.91%
Column 73: Filled=188, Total=194, Percentage=96.91%
Column 74: Filled=188, Total=194, Percentage=96.91%
Column 75: Filled=143, Total=194, Percentage=73.71%
Column 76: Filled=147, Total=194, Percentage=75.77%
Column 77: Filled=189, Total=194, Percentage=97.42%
Column 78: Filled=189, Total=194, Percentage=97.42%
Column 79: Filled=190, Total=194, Percentage=97.94%
Column 80: Filled=187, Total=194, Percentage=96.39%
Column 81: Filled=186, Total=194, Percentage=95.88%
Column 82: Filled=179, Total=194, Percentage=92.27%
Column 83: Filled=187, Total=194, Percentage=96.39%
Column 84: Filled=186, Total=194, Percentage=95.88%
Column 85: Filled=187, Total=194, Percentage=96.39%
Column 86: Filled=185, Total=194, Percentage=95.36%
Column 87: Filled=185, Total=194, Percentage=95.36%
Column 88: Filled=185, Total=194, Percentage=95.36%
Column 89: Filled=145, Total=194, Percentage=74.74%
Column 90: Filled=146, Total=194, Percentage=75.26%
Column 91: Filled=29, Total=194, Percentage=14.95%
Column 92: Filled=83, Total=194, Percentage=42.78%
Column 93: Filled=81, Total=194, Percentage=41.75%
Column 94: Filled=82, Total=194, Percentage=42.27%
Column 95: Filled=81, Total=194, Percentage=41.75%
Column 96: Filled=186, Total=194, Percentage=95.88%
Column 97: Filled=117, Total=194, Percentage=60.31%
Column 98: Filled=187, Total=194, Percentage=96.39%
Column 99: Filled=188, Total=194, Percentage=96.91%
Column 100: Filled=185, Total=194, Percentage=95.36%
Column 101: Filled=188, Total=194, Percentage=96.91%
Column 102: Filled=169, Total=194, Percentage=87.11%
Column 103: Filled=169, Total=194, Percentage=87.11%
Column 104: Filled=191, Total=194, Percentage=98.45%
Column 105: Filled=191, Total=194, Percentage=98.45%
Column 106: Filled=191, Total=194, Percentage=98.45%
Column 107: Filled=190, Total=194, Percentage=97.94%
Column 108: Filled=187, Total=194, Percentage=96.39%
Column 109: Filled=190, Total=194, Percentage=97.94%
Column 110: Filled=189, Total=194, Percentage=97.42%
Column 111: Filled=53, Total=194, Percentage=27.32%
Column 112: Filled=179, Total=194, Percentage=92.27%
Column 113: Filled=179, Total=194, Percentage=92.27%
Column 114: Filled=176, Total=194, Percentage=90.72%
Column 115: Filled=179, Total=194, Percentage=92.27%
Column 116: Filled=191, Total=194, Percentage=98.45%
Column 117: Filled=171, Total=194, Percentage=88.14%
Column 118: Filled=171, Total=194, Percentage=88.14%
Column 119: Filled=171, Total=194, Percentage=88.14%
Column 120: Filled=170, Total=194, Percentage=87.63%
Column 121: Filled=170, Total=194, Percentage=87.63%
Column 122: Filled=170, Total=194, Percentage=87.63%
Column 123: Filled=170, Total=194, Percentage=87.63%
Column 124: Filled=177, Total=194, Percentage=91.24%
Column 125: Filled=177, Total=194, Percentage=91.24%
Column 126: Filled=61, Total=194, Percentage=31.44%
Column 127: Filled=61, Total=194, Percentage=31.44%
Column 128: Filled=61, Total=194, Percentage=31.44%
Column 129: Filled=68, Total=194, Percentage=35.05%
Column 130: Filled=64, Total=194, Percentage=32.99%
Column 131: Filled=115, Total=194, Percentage=59.28%
Column 132: Filled=115, Total=194, Percentage=59.28%
Column 133: Filled=115, Total=194, Percentage=59.28%
Column 134: Filled=115, Total=194, Percentage=59.28%
Column 135: Filled=115, Total=194, Percentage=59.28%
Column 136: Filled=115, Total=194, Percentage=59.28%
Column 137: Filled=115, Total=194, Percentage=59.28%
Column 138: Filled=115, Total=194, Percentage=59.28%
Column 139: Filled=115, Total=194, Percentage=59.28%
Column 140: Filled=115, Total=194, Percentage=59.28%
Column 141: Filled=115, Total=194, Percentage=59.28%
Column 142: Filled=115, Total=194, Percentage=59.28%
Column 143: Filled=115, Total=194, Percentage=59.28%
Column 144: Filled=115, Total=194, Percentage=59.28%
Column 145: Filled=115, Total=194, Percentage=59.28%
Column 146: Filled=115, Total=194, Percentage=59.28%
Column 147: Filled=115, Total=194, Percentage=59.28%
Column 148: Filled=115, Total=194, Percentage=59.28%
Column 149: Filled=115, Total=194, Percentage=59.28%
Column 150: Filled=117, Total=194, Percentage=60.31%
Column 151: Filled=47, Total=194, Percentage=24.23%
Column 152: Filled=47, Total=194, Percentage=24.23%
Column 153: Filled=45, Total=194, Percentage=23.20%
Column 154: Filled=47, Total=194, Percentage=24.23%
Column 155: Filled=47, Total=194, Percentage=24.23%
Column 156: Filled=47, Total=194, Percentage=24.23%
Column 157: Filled=47, Total=194, Percentage=24.23%
Column 158: Filled=47, Total=194, Percentage=24.23%
Column 159: Filled=47, Total=194, Percentage=24.23%
Column 160: Filled=48, Total=194, Percentage=24.74%
Column 161: Filled=48, Total=194, Percentage=24.74%
Column 162: Filled=48, Total=194, Percentage=24.74%
Column 163: Filled=81, Total=194, Percentage=41.75%
Column 164: Filled=81, Total=194, Percentage=41.75%
Column 165: Filled=81, Total=194, Percentage=41.75%
Column 166: Filled=29, Total=194, Percentage=14.95%
Column 167: Filled=29, Total=194, Percentage=14.95%
Column 168: Filled=50, Total=194, Percentage=25.77%
Column 169: Filled=50, Total=194, Percentage=25.77%
Column 170: Filled=50, Total=194, Percentage=25.77%
Column 171: Filled=78, Total=194, Percentage=40.21%
Column 172: Filled=78, Total=194, Percentage=40.21%
Column 173: Filled=78, Total=194, Percentage=40.21%
Column 174: Filled=78, Total=194, Percentage=40.21%
Column 175: Filled=78, Total=194, Percentage=40.21%
Column 176: Filled=78, Total=194, Percentage=40.21%
Column 177: Filled=78, Total=194, Percentage=40.21%
Column 178: Filled=78, Total=194, Percentage=40.21%
Column 179: Filled=78, Total=194, Percentage=40.21%
Column 180: Filled=78, Total=194, Percentage=40.21%
Column 181: Filled=78, Total=194, Percentage=40.21%
Column 182: Filled=78, Total=194, Percentage=40.21%
Column 183: Filled=78, Total=194, Percentage=40.21%
Column 184: Filled=78, Total=194, Percentage=40.21%
Column 185: Filled=78, Total=194, Percentage=40.21%
Column 186: Filled=78, Total=194, Percentage=40.21%
Column 187: Filled=78, Total=194, Percentage=40.21%
Column 188: Filled=78, Total=194, Percentage=40.21%
Column 189: Filled=78, Total=194, Percentage=40.21%
Column 190: Filled=78, Total=194, Percentage=40.21%
Column 191: Filled=78, Total=194, Percentage=40.21%
Column 192: Filled=78, Total=194, Percentage=40.21%
